country,year,age,sex,suicides_no,population
Bahrain,1985,25-34 years,male,7,67600
Bahrain,1985,35-54 years,male,3,49700
Bahrain,1985,35-54 years,female,1,26900
Bahrain,1985,15-24 years,female,0,37800
Bahrain,1985,25-34 years,female,0,27600
Bahrain,1985,5-14 years,female,0,41400
Bahrain,1985,55-74 years,female,0,8700
Bahrain,1985,75+ years,female,0,1500
Bahrain,1985,15-24 years,male,0,49700
Bahrain,1985,5-14 years,male,0,42000
Bahrain,1985,55-74 years,male,0,11600
Bahrain,1985,75+ years,male,0,1400
Bahrain,1987,55-74 years,male,1,11800
Bahrain,1987,35-54 years,male,3,47700
Bahrain,1987,25-34 years,male,3,63900
Bahrain,1987,25-34 years,female,1,27500
Bahrain,1987,15-24 years,female,1,38600
Bahrain,1987,35-54 years,female,0,27300
Bahrain,1987,5-14 years,female,0,42500
Bahrain,1987,55-74 years,female,0,8900
Bahrain,1987,75+ years,female,0,1500
Bahrain,1987,15-24 years,male,0,49400
Bahrain,1987,5-14 years,male,0,43200
Bahrain,1987,75+ years,male,0,1600
Bahrain,1988,25-34 years,male,8,61600
Bahrain,1988,35-54 years,male,4,63500
Bahrain,1988,35-54 years,female,1,30900
Bahrain,1988,15-24 years,male,1,44100
Bahrain,1988,15-24 years,female,0,38300
Bahrain,1988,25-34 years,female,0,32000
Bahrain,1988,5-14 years,female,0,45400
Bahrain,1988,55-74 years,female,0,10300
Bahrain,1988,75+ years,female,0,1400
Bahrain,1988,5-14 years,male,0,46500
Bahrain,1988,55-74 years,male,0,14400
Bahrain,1988,75+ years,male,0,1300
Bahrain,1997,15-24 years,female,0,46573
Bahrain,1997,25-34 years,female,0,50841
Bahrain,1997,35-54 years,female,0,53562
Bahrain,1997,5-14 years,female,0,55390
Bahrain,1997,55-74 years,female,0,13826
Bahrain,1997,75+ years,female,0,2250
Bahrain,1997,15-24 years,male,0,54369
Bahrain,1997,25-34 years,male,0,80297
Bahrain,1997,35-54 years,male,0,96825
Bahrain,1997,5-14 years,male,0,57431
Bahrain,1997,55-74 years,male,0,16035
Bahrain,1997,75+ years,male,0,2355
