"","country","year","age","sex","suicides_no","population"
"1","Bahrain",1985,"25-34 years","male",7,67600
"2","Bahrain",1985,"35-54 years","male",3,49700
"3","Bahrain",1985,"35-54 years","female",1,26900
"4","Bahrain",1985,"15-24 years","female",0,37800
"5","Bahrain",1985,"25-34 years","female",0,27600
"6","Bahrain",1985,"5-14 years","female",0,41400
"7","Bahrain",1985,"55-74 years","female",0,8700
"8","Bahrain",1985,"75+ years","female",0,1500
"9","Bahrain",1985,"15-24 years","male",0,49700
"10","Bahrain",1985,"5-14 years","male",0,42000
"11","Bahrain",1985,"55-74 years","male",0,11600
"12","Bahrain",1985,"75+ years","male",0,1400
"13","Bahrain",1987,"55-74 years","male",1,11800
"14","Bahrain",1987,"35-54 years","male",3,47700
"15","Bahrain",1987,"25-34 years","male",3,63900
"16","Bahrain",1987,"25-34 years","female",1,27500
"17","Bahrain",1987,"15-24 years","female",1,38600
"18","Bahrain",1987,"35-54 years","female",0,27300
"19","Bahrain",1987,"5-14 years","female",0,42500
"20","Bahrain",1987,"55-74 years","female",0,8900
"21","Bahrain",1987,"75+ years","female",0,1500
"22","Bahrain",1987,"15-24 years","male",0,49400
"23","Bahrain",1987,"5-14 years","male",0,43200
"24","Bahrain",1987,"75+ years","male",0,1600
"25","Bahrain",1988,"25-34 years","male",8,61600
"26","Bahrain",1988,"35-54 years","male",4,63500
"27","Bahrain",1988,"35-54 years","female",1,30900
"28","Bahrain",1988,"15-24 years","male",1,44100
"29","Bahrain",1988,"15-24 years","female",0,38300
"30","Bahrain",1988,"25-34 years","female",0,32000
"31","Bahrain",1988,"5-14 years","female",0,45400
"32","Bahrain",1988,"55-74 years","female",0,10300
"33","Bahrain",1988,"75+ years","female",0,1400
"34","Bahrain",1988,"5-14 years","male",0,46500
"35","Bahrain",1988,"55-74 years","male",0,14400
"36","Bahrain",1988,"75+ years","male",0,1300
"37","Bahrain",1997,"15-24 years","female",0,46573
"38","Bahrain",1997,"25-34 years","female",0,50841
"39","Bahrain",1997,"35-54 years","female",0,53562
"40","Bahrain",1997,"5-14 years","female",0,55390
"41","Bahrain",1997,"55-74 years","female",0,13826
"42","Bahrain",1997,"75+ years","female",0,2250
"43","Bahrain",1997,"15-24 years","male",0,54369
"44","Bahrain",1997,"25-34 years","male",0,80297
"45","Bahrain",1997,"35-54 years","male",0,96825
"46","Bahrain",1997,"5-14 years","male",0,57431
"47","Bahrain",1997,"55-74 years","male",0,16035
"48","Bahrain",1997,"75+ years","male",0,2355
"49","Bahrain",1998,"15-24 years","female",0,48147
"50","Bahrain",1998,"25-34 years","female",0,51596
"51","Bahrain",1998,"35-54 years","female",0,56917
"52","Bahrain",1998,"5-14 years","female",0,56626
"53","Bahrain",1998,"55-74 years","female",0,14404
"54","Bahrain",1998,"75+ years","female",0,2312
"55","Bahrain",1998,"15-24 years","male",0,56377
"56","Bahrain",1998,"25-34 years","male",0,80849
"57","Bahrain",1998,"35-54 years","male",0,101013
"58","Bahrain",1998,"5-14 years","male",0,58935
"59","Bahrain",1998,"55-74 years","male",0,16409
"60","Bahrain",1998,"75+ years","male",0,2423
"61","Bahrain",1999,"25-34 years","male",8,82791
